Sentence,Sentiment,Sentence_clear
A survey conducted by Taloustutkimus for Sampo Life shows that companies are badly prepared to losing key staff members .,negative,survey conduct taloustutkimus sampo life show company badly prepare lose key staff member
The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,negative,company slip operate loss eur 26 million profit eur 13 million
$FB Nice buyable intraday dip right here,positive,fb nice buyable intraday dip right
"@BrooklynBandit: $SIMO Basing nice. A close over 24.18 is bullish $QQQ $SPY $STUDY watch for a close near HOD. Currently up +3%"" up +5%",positive,brooklynbandit simo base nice close 2418 bullish qqq spy study watch close near hod currently 3 5
"Via the takeover , Panostaja further expands its business area specialising in digital printing , which since previously consists of the subsidiaries Kopijyva Oy and Sokonet Oy .",positive,via takeover panostaja expand business area specialise digital printing since previously consist subsidiary kopijyva oy sokonet oy
"All the ferries had run into trouble just outside the Stockholm archipelago , made up of more than 20,000 islands .",neutral,ferry run trouble outside stockholm archipelago make 20000 island
According to Deputy MD Pekka Silvennoinen the aim is double turnover over the next three years .,positive,accord deputy md pekka silvennoinen aim double turnover next three year
The proposal of the shareholders to elect Mr. Hannu Krogerus to the Board is based on his long and unrivalled experience and knowledge of all matters related to Elcoteq .,neutral,proposal shareholder elect mr hannu krogerus board base long unrivalle experience knowledge matter relate elcoteq
The company 's board of directors would propose a dividend of EUR1 .00 per share for 2005 .,neutral,company board director would propose dividend eur1 00 per share 2005
He said things will be different when new Finnish nuclear power stations go into operation and the large hydro powered stations of northern Europe have a good year .,neutral,say thing different new finnish nuclear power station go operation large hydro power station northern europe good year
"The fair value change of investment properties was EUR 15.8 mn , compared to EUR 22.9 mn in the third quarter of 2009 .",negative,fair value change investment property eur 158 mn compare eur 229 mn third quarter 2009
Marimekko is considering further measures in the matter .,neutral,marimekko consider measure matter
Why $TWTR is doomed in 1 chart $FB $GOOG  https://t.co/MpyLiReQjh https://t.co/nlcZawDoHP,neutral,twtr doom 1 chart fb goog httpstcompylireqjh httpstconlczawdohp
"N +1 Group will pay EUR16 .5 m of the transaction price upon closing , and the remaining sum in 2012 .",neutral,n 1 group pay eur16 5 transaction price upon close remain sum 2012
"Vehvilainen , who is currently the chief operating officer at Nokia Siemens Networks , will join Finnair on 5 January 2010 and take over as CEO effective 1 February 2010 .",neutral,vehvilainen currently chief operating officer nokia siemens networks join finnair 5 january 2010 take ceo effective 1 february 2010
Our Canned-preserved food in Finland report offers a comprehensive guide to the size and shape of the market at a national level .,neutral,cannedpreserved food finland report offer comprehensive guide size shape market national level
The economic occupancy rate of Sponda 's property portfolio rose to 91.2 % from 88.8 % in 2006 .,positive,economic occupancy rate sponda property portfolio rise 912 888 2006
The value of the contracts is about EUR 3.3 mn .,neutral,value contracts eur 33 mn
MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,positive,marketsshire 25 baxalta 6 32bn deal
Finnish Bank of +àland will launch its long-term pension savings account at the beginning of June 2010 .,neutral,finnish bank àland launch longterm pension saving account begin june 2010
"ALEXANDRIA , Va. , Nov. 5 -- Risto Kontturi of Rajamaki , Finland , and Jari Ylinen of Hyvinkaa , Finland , have developed an automated transportation system with a user-controlled transport selection .",neutral,alexandria va nov 5 risto kontturi rajamaki finland jari ylinen hyvinkaa finland develop automate transportation system usercontrolle transport selection
"He does not believe , however , that HKScan or Atria will start to use imported meat as Finnish consumers prefer domestic products .",neutral,believe however hkscan atria start use import meat finnish consumer prefer domestic product
`` We are selling an information systems development business to the Finns .,neutral,sell information system development business finn
"Finnish Suominen Corporation that makes wipes , nonwovens , and flexible packaging , expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes .",neutral,finnish suominen corporation make wipe nonwoven flexible packaging expect change market situation reduce sale suominen nonwoven wet wipe previously estimate volume
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,neutral,rushydro agreement transfer stake oesk five erc trust management inter rao
"Kaleva Kustannus Oy ( business ID 0187274-0 ) has , according to its notice , on 10 August 2009 acquired 4,458,000 Alma Media shares .",neutral,kaleva kustannus oy business i d 01872740 accord notice 10 august 2009 acquire 4458000 alma medium share
"Glaston , headquartered in Tampere , Finland , is a growing and international glass technology company .",neutral,glaston headquartered tampere finland grow international glass technology company
"Mformation and Nokia noted they have established interoperability agreements that cover commercially proven , standards-based management of mobile devices , as well as mobile device security and mobile application management .",positive,mformation nokia note establish interoperability agreement cover commercially prove standardsbase management mobile device well mobile device security mobile application management
Buyback not trending right ( $CPIX spending more as shares pricier). Hopefully will pull back w 6.87 Q2 closing VWAP,negative,buyback trend right cpix spending share pricier hopefully pull back w 687 q2 closing vwap
"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",neutral,company annual loss amount eek 18mn compare profit eek 73 mn 2008
"The original name Componenta +àm+Ñl , as a subsidiary of the Finnish Componenta Group , has been changed to +àm+Ñl Components and the company has seen a 63 % growth in Q1 2010 , in comparison to Q1 2009 .",positive,original name componenta àmñl subsidiary finnish componenta group change àmñl component company see 63 growth q1 2010 comparison q1 2009
"HELSINKI AFX - Salcomp , the mobile phone charger manufacturer , said it has appointed Markku Hangasjarvi as its new CEO , following the resignation of Mats Eriksson .",neutral,helsinki afx salcomp mobile phone charger manufacturer say appoint markku hangasjarvi new ceo follow resignation mat eriksson
"NAVTEQ has a commanding lead in installed map data systems in North American vehicles and may be the leader in turn-by-turn navigation data offered by services such as OnStar in North America , said analyst Phil Magney of Telematics Research Group in Minnetonka , Minn. .",positive,navteq commanding lead instal map datum system north american vehicle may leader turnbyturn navigation datum offer service onstar north america say analyst phil magney telematics research group minnetonka minn
"Companies evaluated in the report include Aladdin , CA , F-Secure , Kaspersky , Marshal , McAfee , Microsoft , Panda , Proofpoint , Sophos , Symantec , Trend Micro , Tumbleweed , and Websense .",neutral,company evaluate report include aladdin can fsecure kaspersky marshal mcafee microsoft panda proofpoint sophos symantec trend micro tumblewee websense
Around 50 percent of the world 's ro-ro fleet is over 25 years old and needs to be scrapped for environmental reasons .,neutral,around 50 percent world roro fleet 25 year old need scrap environmental reason
"In the first quarter of 2010 , the mark-to-market result was a pretax profit of EUR 133 million versus a loss of EUR 32 million in the same period last year .",positive,first quarter 2010 marktomarket result pretax profit eur 133 million versus loss eur 32 million period last year
"Aldata Solution Oyj Stock Exchange Release 11 August 2006 , at 11.00 am ALDATA SHARES SUBSCRIBED FOR WITH 2003 STOCK OPTIONS A total of 95,000 new shares of Aldata Solution Oyj have been subscribed for with the company 's 2003A stock options .",neutral,aldata solution oyj stock exchange release 11 august 2006 1100 aldata share subscribe 2003 stock option total 95000 new share aldata solution oyj subscribed company 2003a stock option
The Insolvency Act regulates the amount of debt that borrowers are permitted to write off .,neutral,insolvency act regulate amount debt borrower permit write
The investment will be worth approximately EUR 100mn .,neutral,investment worth approximately eur 100mn
The company is presently examining whether the project would be financially feasible .,neutral,company presently examine whether project would financially feasible
Also Lemmink+ñinen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,positive,also lemminkñinen profit accounting period go eur 31 mn eur 245 mn year ago
"The start of the negotiations , relating to Glaston 's efficiency program , was announced in October .",neutral,start negotiation relate glaston efficiency program announce october
The continued operations mean the structure after the restructuring of the Aspocomp group including Aspocomp Oulu and the headquarter operations .,neutral,continue operation mean structure restructure aspocomp group include aspocomp oulu headquarter operation
Earnings per share ( EPS ) amounted to a loss of EUR0 .05 .,negative,earning per share eps amount loss eur0 05
"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",neutral,reason behind estimate include rise 2008 rent level several fullylease office retail property complete add company investment property portfolio
The shares carry a right to dividend and other shareholder rights as from their registration with the Finnish Trade Register .,neutral,share carry right dividend shareholder right registration finnish trade register
$NFLX I say it's time to short at this point.,negative,nflx say time short point
"2nd raise this year.  ""@BVHealthcare: $QCOR Questcor Increases Quarterly Cash Dividend 20 Percent.. http://stks.co/goan""",positive,2nd raise year bvhealthcare qcor questcor increase quarterly cash dividend 20 percent httpstkscogoan
Aviva shuts Friends Life head office in rapid integration move,neutral,aviva shut friend life head office rapid integration move
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,neutral,move trigger weak demand forestry equipment uncertain market situation
"However , the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 .",neutral,however order receive period review fall 17 quarteronquarter eur 213 million record second quarter 2010
"The Division also includes joint sales , marketing and controlling functions for these units .",neutral,division also include joint sale marketing controlling function unit
"Outotec 's delivery covers the engineering , supply and construction of a circulating fluid bed calcination plant with a capacity of 1,600 tons of alumina per day .",neutral,outotec delivery cover engineering supply construction circulate fluid bed calcination plant capacity 1600 ton alumina per day
"As a result , the company will temporarily lay-off 25 % of the whole personnel , approximately 270 persons at Kirkkonummi and Nivala factories .",neutral,result company temporarily layoff 25 whole personnel approximately 270 person kirkkonummi nivala factory
"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",negative,result taxis decrease nearly eur 145 mn compare nearly eur 20mn previous accounting period
The majority of the company 's personnel in Finland is temporarily laid off from one to six weeks in the period from February to June 2009 period .,negative,majority company personnel finland temporarily lay one six week period february june 2009 period
The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 .,negative,company report today operate loss eur0 1 net sale eur4 5 first quarter 2008
The GyPSii mobile social networking application is available in China with both Chinese and English language support .,neutral,gypsii mobile social networking application available china chinese english language support
QPR ProcessGuide is available as a system solution with centralized storage and management of process content as well as a standalone desktop version ; QPR ProcessGuide Xpress .,neutral,qpr processguide available system solution centralize storage management process content well standalone desktop version qpr processguide xpress
X marks the recall: Tesla recalls #ModelX for faulty 3rd row seat. https://t.co/HSqdoVry07 $TSLA https://t.co/4Cs3CNZEBB,negative,x marks recall tesla recall modelx faulty 3rd row seat httpstcohsqdovry07 tsla httpstco4cs3cnzebb
A 2001 agreement expired earlier this month .,neutral,2001 agreement expire early month
loading $SPY and $AAPL puts. think were toppy IMHO.,negative,loading spy aapl put think toppy imho
"So far , Mr. Galvan he has been able to avoid laying off workers .",positive,far mr galvan able avoid lay worker
The measures result from the statutory joint negotiations with employees which started in February and concerned all operations in the country .,neutral,measure result statutory joint negotiation employee start february concerned operation country
"When the negotiations were started , Neste Oil anticipated that 450 people would be affected .",neutral,negotiation start neste oil anticipate 450 people would affect
"According to Arokarhu , some of the purchases that had been scanned into the cash register computer disappeared when the total sum key was pressed .",neutral,accord arokarhu purchase scan cash register computer disappear total sum key press
"$AAPL double bottom could be in, keep in mind",positive,aapl double bottom could keep mind
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",neutral,fsecure internet security 2010 security service surfing web online banking shopping email online activity
Orion Pharma 's operating profit increased by 42.5 % from 2004 .,positive,orion pharma operating profit increase 425 2004
"The changes will take effect on 1 January 2010 , and they are not estimated to have an impact on the number of employees .",neutral,change take effect 1 january 2010 estimate impact number employee
"The recruitment is related to the relocation of Stora Enso 's research operations to Karlstad , central Sweden .",neutral,recruitment relate relocation stora enso research operation karlstad central sweden
Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 .,neutral,operating loss total eur 25mn compare profit eur 63mn correspond period 2005
"Profitability ( EBIT % ) was 13.6 % , compared to 14.3 % in Q2 2009 .",neutral,profitability ebit 136 compare 143 q2 2009
"This new representation extends Comptel 's global presence to a total of 18 countries , serving over 250 customers in over 80 countries worldwide .",positive,new representation extend comptel global presence total 18 country serve 250 customer 80 country worldwide
"Elisa Corporation will disclose its financial statements for 2006 on Thursday , 8 February 2007 .",neutral,elisa corporation disclose financial statement 2006 thursday 8 february 2007
"The company , which makes garden tools , scissors and other consumer goods , said earnings were boosted by 6.9 mln eur of income it received from its 16.7 pct shareholding in Finnish engineering group Wartsila .",positive,company make garden tool scissor consumer good say earning boost 69 mln eur income receive 167 pct shareholde finnish engineering group wartsila
The deliveries are scheduled for the summer and autumn of 2008 .,neutral,delivery schedule summer autumn 2008
"Lule+Ñ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",positive,luleñ municipality award yit 2year contract property management one third municipality property total area 140000 sq metre
GSK and Novartis complete deals to reshape both drugmakers,positive,gsk novartis complete deal reshape drugmaker
It is expected to be online by 2011 .,neutral,expect online 2011
Legal & General arm buys 50 pct stake in MediaCityUK in Manchester,positive,legal general arm buy 50 pct stake mediacityuk manchester
Quality chargers under CHARGZ brand are sold in selected retail stores and other sales locations world-wide .,neutral,quality charger chargz brand sell select retail store sale location worldwide
Passengers rise at EasyJet and Aer Lingus,positive,passenger rise easyjet aer lingus
Operating profit rose to EUR 4.7 mn from EUR 4.6 mn .,positive,operating profit rise eur 47 mn eur 46 mn
Central Europe is an important market area for Honka .,neutral,central europe important market area honka
A total of $ 78 million will be invested in the project .,neutral,total 78 million invest project
"Motorola accounted for 11.5 percent of the South Korean handset market as of the end of April , Samsung held 55 percent and LG Electronics 19 percent , according to Korea-based ATLAS Research Group .",neutral,motorola account 115 percent south korean handset market end april samsung hold 55 percent lg electronic 19 percent accord koreabase atlas research group
"$IFF technical alerts: Stochastic Sell Signal, 200 DMA Support, and 50 DMA Support  http://stks.co/p12QY",negative,iff technical alert stochastic sell signal 200 dma support 50 dma support httpstkscop12qy
"On the basis of competitive bidding OOO Kitai Stroi , the Russian subsidiary of China State Construction Engineering Corporation , a construction company owned by China State , has been selected as the main constructor .",neutral,basis competitive bidding ooo kitai stroi russian subsidiary china state construction engineering corporation construction company own china state select main constructor
British American Tobacco drops and sues PwC over pollution scandal,negative,british american tobacco drop sue pwc pollution scandal
"The group posted net sales of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 .",neutral,group post net sale 353 mln euro 465 mln operating profit 760000 euro 10 mln 2005
"Clothing retail chain Sepp+ñl+ñ 's sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .",positive,clothing retail chain seppñlñ sale increase 8 eur 1552 mn operating profit rise eur 311 mn eur 171 mn 2004
The facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .,neutral,facility consist seven year bullet term loan 200 mln euro 2924 mln 150 mln euro 2193 mln five year revolve credit facility
"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",positive,term profitability earning 2007 good year history chief executive velimatti mattila say
Closing of such transaction took place today .,neutral,closing transaction take place today
"In addition , a further 29 employees can be laid off until further notice and the whole workforce can be laid off for short periods if needed .",negative,addition 29 employee lay notice whole workforce lay short period need
"The Annual Report will be sent automatically to shareholders holding at least 2,000 Sampo plc shares .",neutral,annual report send automatically shareholder hold least 2000 sampo plc share
UPM-Kymmene is one of the world 's leading printing paper producers with production in 15 countries and a sales network covering more than 170 companies .,positive,upmkymmene one world lead printing paper producer production 15 country sale network cover 170 company
"` The stable outlook reflects Nokia 's strong market position in the global mobile handset market , strong cash flow generation , and very conservative balance sheet , ' said Raab .",positive,stable outlook reflect nokia strong market position global mobile handset market strong cash flow generation conservative balance sheet say raab
"Nokia will continue to invest in future development of Qt for the benefit of all users , both Commercial and LGPL .",positive,nokia continue invest future development qt benefit user commercial lgpl
$HITK  Resuming advance into new historical highs.,positive,hitk resume advance new historical high
`` NTC has a geographical presence that complements Ramirent 's existing network and brings us closer to our customers in the East Bohemia region in the CzechRepublic . '',positive,ntc geographical presence complement ramirent exist network bring we close customer east bohemia region czechrepublic
"Metso is a global supplier of sustainable technology and services for mining , construction , power generation , automation , recycling and the pulp and paper industries .",neutral,metso global supplier sustainable technology service mining construction power generation automation recycle pulp paper industry
"Biohit Oyj develops , manufactures and markets liquid handling products and diagnostic test systems for use in research , healthcare and industrial laboratories .",neutral,biohit oyj develop manufacture market liquid handling product diagnostic test system use research healthcare industrial laboratory
"New Chairman of the Board of Directors , Mr Chaim Katzman , will give a presentation and answer questions .",neutral,new chairman board director mr chaim katzman give presentation answer question
Viking Line manages well with its current ferries .,positive,vike line manage well current ferry
"When dialing in , the participants should quote 877417 as conference ID .",neutral,dial participant quote 877417 conference i d
The objective of the St. Petersburg office is first to boost the Company 's maintenance business .,neutral,objective st petersburg office first boost company maintenance business
Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,operating profit total eur 177 mn compare eur 176 mn correspond period 2007
- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red .,negative,net sale period expect fall well last year result nonrecurre item expect red
`` We have the most expensive water brand in Finland at the moment . '',neutral,expensive water brand finland moment
"France T+®l+®com spent more time studying TeliaSonera than other potential takeover targets because it has a shareholder that wants to sell , Pellissier said .",neutral,france ® l ® com spend time study teliasonera potential takeover target shareholder want sell pellissier say
"$BRK.B $SPY  All time high tomorrow? 150k on the A shares, Dec 13, 2007.",positive,brkb spy time high tomorrow 150k share dec 13 2007
Salonen added that data shows producers ' pulp inventories in North America are declining . ',negative,salonen add datum show producer pulp inventory north america decline
`` Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop-in-shops .,neutral,marimekko aim expand distribution network primarily increase number concept store shopinshop
SRV lowered its net sales estimate for the whole of 2008 due to uncertainties in housing sales .,negative,srv lower net sale estimate whole 2008 due uncertaintie housing sale
$AWR Standard & Poor's Affirms 'A+' Credit Rating at American States Water Company and Golden State Water Company http://stks.co/f2P94,positive,awr standard poor affirm credit rating american states water company golden state water company httpstkscof2p94
"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",positive,accord ceo kai telanne company newspaper achieve good financial result ever
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,seat belt recall care I m buyer tsla
Randgold profit hit by poor gold price but dividend still increases,neutral,randgold profit hit poor gold price dividend still increase
"( ADP News ) - Jan 22 , 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 .",neutral,adp news jan 22 2009 finnish mobile phone maker nokia oyj omx nok1v say today operating profit decrease eur 5 billion usd 65 bn 2008 eur 8 billion 2007
Finnish Raute Precision that supplies weighing and dosing systems and plants is changing its name to Lahti Precision .,neutral,finnish raute precision supply weigh dosing system plant change name lahti precision
$AAPL at resistance right here...sold my shares...will buy back if it dips or if it goes in the 128 gap zone,negative,aapl resistance right heresold shareswill buy back dip go 128 gap zone
EuroChem Head of Corporate Finance Alexander Gavrilov said : `` I am pleased that we have once again confirmed that EuroChem is able to attract long-term funds at attractive rates .,positive,eurochem head corporate finance alexander gavrilov say please confirm eurochem able attract longterm fund attractive rate
"In Q1 of 2009 , the company 's result before taxes from continuing operations , excluding non-recurring items , totalled EUR -0.4 mn , compared to EUR -0.1 mn in the corresponding period in 2008 .",negative,q1 2009 company result taxis continue operation exclude nonrecurre item total eur 04 mn compare eur 01 mn correspond period 2008
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,positive,robust growth result inclusion clothing chain lindex group december 2007
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive,companiesdixon carphone close 134 uk store sale jump
"Elcoteq Dongguan was established in 1999 in the Nancheng District of Dongguan , China and is one of Elcoteq s four volume manufacturing plants in the Asia-Pacific region .",neutral,elcoteq dongguan establish 1999 nancheng district dongguan china one elcoteq four volume manufacturing plant asiapacific region
The measures result from decreased demand in technical design and product information .,negative,measure result decrease demand technical design product information
"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit",negative,kraft cadburys britvic total recall pull product affect profit
"The currency effect had a 3.0 pct , or 20 mln euro ( $ 31.3 mln ) , negative impact on the revenue .",neutral,currency effect 30 pct 20 mln euro 313 mln negative impact revenue
$SPY bull move ended waiting for next setup,negative,spy bull move end wait next setup
Analysts impressed with progress at Tesla's flagship factory; co spent $1.6B on upgrades in '15 https://t.co/SABxCSn8cd by @tsrandall $TSLA,positive,analyst impress progress tesla flagship factory co spend 16b upgrade 15 httpstcosabxcsn8cd tsrandall tsla
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,isrg break confirm buy leap good trading
"The highest growth would be in China , while weakening demand would continue in North America , UPM said .",neutral,high growth would china weaken demand would continue north america upm say
"from BUSINESS LINE , May 16 , 2008 Sriperumbudur , May 15 - Nokia 's two key suppliers - Aspocomp and Wintek - are likely to start operations within three months in the Nokia Telecom Park at Sriperumbudur , 45 km west off Chennai .",neutral,business line may 16 2008 sriperumbudur may 15 nokia two key supplier aspocomp wintek likely start operation within three month nokia telecom park sriperumbudur 45 km west chennai
I am not optimistic about $amzn both fundementals and charts look like poopoo this quarter.,negative,optimistic amzn fundemental chart look like poopoo quarter
He said he has been losing five families a month to the economy as many make alternative arrangements to save money .,neutral,say lose five family month economy many make alternative arrangement save money
"The ship cranes , which will be manufactured by MacGREGOR 's partner plants in China , will be delivered between 2008-2010 for vessels ordered by Chinese COSCO , German Peter Dohle and Hong Kong based Cido Shipping .",neutral,ship crane manufacture macgregor partner plant china deliver 20082010 vessel order chinese cosco german peter dohle hong kong base cido shipping
Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,positive,finnish fiber plastic product maker suominen corporation say net loss continue operation narrow 18 mln euro 23 mln 2006 37 mln euro 48 mln 2005
AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval,positive,ab inbevs late bid say unlikely win sabmiller approval
The company 's equipment rental portfolio consists primarily of tools for small and mid-sized customers in the construction industry .,neutral,company equipment rental portfolio consist primarily tool small midsized customer construction industry
It is a disappointment to see the plan folded .,neutral,disappointment see plan fold
"Pretax loss totalled EUR 49.9 mn , compared to a loss of EUR 15.4 mn in the corresponding period in 2008 .",neutral,pretax loss total eur 499 mn compared loss eur 154 mn correspond period 2008
Operating profit rose to 22.1 mln eur from 19.9 mln .,positive,operating profit rise 221 mln eur 199 mln
"At 1.33 pm , the OMX Helsinki 25 was 0.30 pct lower at 2,463.67 and the OMX Helsinki was down 0.37 pct at 8,537.42 on volume of 256 mln eur .",negative,133 pm omx helsinki 25 030 pct low 246367 omx helsinki 037 pct 853742 volume 256 mln eur
"The segment has an annual revenue of approximately EUR400m , the company said .",neutral,segment annual revenue approximately eur400 m company say
"We are very pleased with the fine co-operation between the two countries in recent times , he said .",positive,pleased fine cooperation two country recent time say
"Cramo , headquartered in Vantaa , Finland , rents construction machinery and equipment , as well as rents and sells modular space .",neutral,cramo headquarter vantaa finland rent construction machinery equipment well rent sell modular space
"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",positive,also strengthen exist partnership cybercom say teleste cto esko myllyla
"On 20 March 2006 , Stora Enso refused to comment the news in any way .",neutral,20 march 2006 stora enso refuse comment news way
Operating profit increased to EUR 14.0 mn from EUR 4.9 mn in the corresponding period in 2005 .,positive,operating profit increase eur 140 mn eur 49 mn correspond period 2005
$ZNGA http://stks.co/3rdu Looking for a test at 9.25 resistance point. cc @ cfrazierjr @FletchTrade #traders,positive,znga httpstksco3rdu look test 925 resistance point cc cfrazierjr fletchtrade trader
"Previously , the company anticipated its operating profit to improve over the same period .",positive,previously company anticipate operating profit improve period
SWOT analysis is just one method of categorization and has its own weaknesses .,neutral,swot analysis one method categorization weakness
Merrill Lynch analyst Campbell Morgan upgraded his recommendation on PaperlinX from `` neutral '' to `` buy '' in May .,positive,merrill lynch analyst campbell morgan upgrade recommendation paperlinx neutral buy may
"A coker crane will be supplied to Tesoro Corporation 's Golden Eagle Refinery in Martinez , California , while a similar crane will be delivered to BP 's Castell refinery in Spain .",neutral,coker crane supply tesoro corporation golden eagle refinery martinez california similar crane deliver bp castell refinery spain
The group 's 12-month operating profit grew 31 percent to 337.8 million euros .,positive,group 12month operating profit grow 31 percent 3378 million euro
- Counter your competitor 's strengths and target their weaknesses .,neutral,counter competitor strength target weakness
Return on capital employed ROCE was a negative 2.3 % compared to 11.3 % in 2007 .,negative,return capital employ roce negative 23 compare 113 2007
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive,lulu httpstkscoo17i bounce support early week indicator turn rsi macd smi worth look
Cargotec 's business areas also include the container handling solutions business area Kalmar and the marine cargo handling and offshore load handling solutions business area MacGREGOR .,neutral,cargotec business area also include container handling solution business area kalmar marine cargo handle offshore load handling solution business area macgregor
"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,continue actively focus rd position offer away point solution towards dynamic endtoend solution ervio state
$AAPL - Has broken its downtrend - but 200DMA proving to be stiff resistance short term. https://t.co/VlzlgvIHZV,positive,aapl broken downtrend 200dma prove stiff resistance short term httpstcovlzlgvihzv
"In 2009 , Stora Enso 's net loss was EUR 879.7 million compared to EUR 673.4 million in the previous year .",negative,2009 stora enso net loss eur 8797 million compare eur 6734 million previous year
"NORDIC BUSINESS REPORT-17 January 2006-Efore Plc inaugurates new plant in Estonia -® 1998-2006 M2 COMMUNICATIONS LTD Finnish power electronics manufacturer Efore Plc said on Tuesday ( 17 January ) that it was inaugurating its new plant in Parnu , Estonia .",neutral,nordic business report17 january 2006efore plc inaugurate new plant estonia ® 19982006 m2 communications ltd finnish power electronic manufacturer efore plc say tuesday 17 january inaugurate new plant parnu estonia
"The total value of the project is estimated to be over 3.0 mln euro $ 4.4 mln , of which the services will be over 2.0 mln euro $ 2.9 mln and third-party licences more than 1.0 mln euro $ 1.5 mln .",neutral,total value project estimate 30 mln euro 44 mln service 20 mln euro 29 mln thirdparty licence 10 mln euro 15 mln
Reed Elsevier share price slides on underwhelming full-year results,negative,reed elsevi share price slide underwhelme fullyear result
"Technopolis has set aside a plot of land measuring 4.6 hectares to build the park , Mikkonen said .",neutral,technopolis set aside plot land measure 46 hectare build park mikkonen say
GyPSii service supports ten different languages including Korean and Russian .,neutral,gypsii service support ten different language include korean russian
The company turned to earnings per share ( EPS ) of EUR 0.03 versus loss per share of EUR 0.01 .,positive,company turn earning per share ep eur 003 versus loss per share eur 001
The company does not at present hold any of its own shares .,neutral,company present hold share
The estimated value of the deal is USD 9.2 million .,neutral,estimate value deal usd 92 million
"In future , the plant will focus on the production of flange profiles for wind farm towers .",neutral,future plant focus production flange profile wind farm tower
"As a result of these transactions , the aggregate holdings of Burrill Life Sciences Capital Fund , L.P. has decreased below 5 per cent of the total number of shares and votes of the Company .",negative,result transaction aggregate holding burrill life sciences capital fund lp decrease 5 per cent total number share vote company
"Revenue in July to September grew 14 percent to ( EURO ) 467 million from a year earlier , the company said Thursday .",positive,revenue july september grow 14 percent euro 467 million year early company say thursday
4 February 2011 - Finnish privacy and security software developer Tectia Oyj ( HEL : TEC1V ) said Wednesday it has set up two strategic business units - managed security and mobile authentication .,neutral,4 february 2011 finnish privacy security software developer tectia oyj hel tec1v say wednesday set two strategic business unit manage security mobile authentication
"SDM offers general rental equipment , aluminium scaffolding , power generator and hoists to customers in the construction sector .",neutral,sdm offer general rental equipment aluminium scaffold power generator hoist customer construction sector
$tsla bad day to short,positive,tsla bad day short
"Nokia controls more than 50 percent of phone sales in India and Africa , and has a strong prosition on most other emerging markets .",positive,nokia control 50 percent phone sale india africa strong prosition emerge market
$CYTX looks like an ascending channel on Finfiz http://stks.co/f26r4,positive,cytx look like ascend channel finfiz httpstkscof26r4
Storengy is the GDF SUEZ company that is dedicated to the underground storage of natural gas .,neutral,storengy gdf suez company dedicate underground storage natural gas
