sentence,sentiment,sentence_clear,sentence_pt
ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,positive,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,"ConAgra nomeia ex-CEO da Hillshire Farms, Connolly, para o cargo máximo."
Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,neutral,Finnish department store group Stockmann is planning to acquire about EUR 141mn through a directed issue and a rights offering .,O grupo finlandês de lojas de departamento Stockmann planeja arrecadar cerca de 141 milhões de euros por meio de uma emissão direcionada e uma oferta de direitos.
"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .",neutral,"The city will invite , however , a public procurement tender for the tailor-made public furniture , such as park benches , litter receptacles , public toilets , as well as bus shelters , street lights , and other .","A cidade, no entanto, lançará um concurso público para o mobiliário público feito sob medida, como bancos de parque, lixeiras, banheiros públicos, além de abrigos de ônibus, postes de iluminação e outros."
"`` Our decision and resolve on MeeGo is only stronger , '' she continued .",positive,"`` Our decision and resolve on MeeGo is only stronger , '' she continued .","""Nossa decisão e determinação em relação ao MeeGo só se fortaleceram"", continuou ela."
"According to Olvi , the company is already negotiating new agreements .",neutral,"According to Olvi , the company is already negotiating new agreements .","Segundo Olvi, a empresa já está negociando novos acordos."
- Provides summary of the medical equipment pipeline products that the company is developing .,neutral,- Provides summary of the medical equipment pipeline products that the company is developing .,- Apresenta um resumo dos produtos de equipamentos médicos em desenvolvimento pela empresa.
"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .",neutral,"Tallink Silja attributes the significant drop to problems with the booking system that was taken into operation in October , the sale of trailer ferry ` Sky Wind ' and the route between Stockholm and Riga , which has won passengers from the Helsinki-Stockholm route .","A Tallink Silja atribui a queda significativa a problemas com o sistema de reservas que entrou em operação em outubro, à venda do ferry de reboque ""Sky Wind"" e à rota entre Estocolmo e Riga, que atraiu passageiros da rota Helsinque-Estocolmo."
"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .",neutral,"In July-September 2009 , Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 .","Entre julho e setembro de 2009, as vendas da Konecranes diminuíram para 368,7 milhões de euros, em comparação com 520,4 milhões de euros no mesmo período de 2008."
"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .",positive,"Section : Regional News - The demand in Finnair 's Asian traffic , measured in passenger kilometers , was up 34.9 % in August compare to last year .","Seção: Notícias Regionais - A demanda no tráfego asiático da Finnair, medida em passageiros-quilômetro, aumentou 34,9% em agosto em comparação com o ano passado."
"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .",negative,"Operating profit , excluding non-recurring items , totalled EUR 1.0 mn , down from EUR 1.6 mn .","O lucro operacional, excluindo itens não recorrentes, totalizou 1,0 milhão de euros, contra 1,6 milhão de euros no mesmo período do ano anterior."
"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .",neutral,"Salcomp 's charger manufacturing plant in India is located in the Nokia Telecom Park in the state of Tamil Nadu , in the eastern part of India .","A fábrica de carregadores da Salcomp na Índia está localizada no Nokia Telecom Park, no estado de Tamil Nadu, na região leste da Índia."
"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .",positive,"Its board of directors will propose a dividend of EUR0 .12 per share for 2010 , up from the EUR0 .08 per share paid in 2009 .","O conselho de administração da empresa proporá um dividendo de 0,12 euros por ação para 2010, um aumento em relação aos 0,08 euros por ação pagos em 2009."
"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .",neutral,"Furthermore , sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month .","Além disso, as vendas de carros de passageiros e veículos comerciais leves novos no país diminuíram 5,4% em relação ao ano anterior no mês passado."
"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .",neutral,"The program , which was started in the summer of 2007 , was originally estimated to last approximately two years .","O programa, que teve início no verão de 2007, foi originalmente estimado para durar aproximadamente dois anos."
"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",positive,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .","A empresa registrou receitas de € 658,1 milhões durante o ano fiscal encerrado em dezembro de 2007, um aumento de 23% em relação a 2006."
$AAPL $131 rally mode,positive,AAPL 131 rally mode,Modo de rali AAPL 131
Exact (EXAS) Flagged As Strong On High Volume $EXAS http://stks.co/r26Ra,positive,Exact (EXAS) Flagged As Strong On High Volume EXAS http://stks.co/r26Ra,Exato (EXAS) sinalizado como forte em EXAS de alto volume http://stks.co/r26Ra
MT @TheAcsMan Amazing seeing everyone suddenly touting $MSFT. Long been favorite covered call & double dip dividend play.,positive,MT @TheAcsMan Amazing seeing everyone suddenly touting MSFT. Long been favorite covered call & double dip dividend play.,MT @TheAcsMan Incrível ver todo mundo de repente elogiando a MSFT. Há muito tempo é minha estratégia favorita de venda coberta de opções e dividendos duplos.
"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .",neutral,"FL Group 's private equity division manages all operating companies , including Icelandair Group , FL Travel Group , Bluebird and Sterling .","A divisão de private equity do FL Group administra todas as empresas operacionais, incluindo o Icelandair Group, o FL Travel Group, a Bluebird e a Sterling."
Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,negative,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 .,"A Biohit Oyj OMX Helsinki (BIOBV), desenvolvedora finlandesa de sistemas de teste diagnóstico e manipulação de líquidos para laboratório, emitiu na terça-feira, 3 de junho, um alerta de lucro para o ano fiscal de 2008."
"The move is aimed at boosting sales , cost-efficiency and market share in Finland .",positive,"The move is aimed at boosting sales , cost-efficiency and market share in Finland .","A medida visa impulsionar as vendas, a eficiência de custos e a participação de mercado na Finlândia."
"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .",positive,"The company still expects its turnover in 2010 to slightly increase from the level of 2009 , adding that `` market predictability is still too poor for trustworthy forecasts on the market development of the contract manufacturing business during the current year '' .","A empresa ainda espera que seu faturamento em 2010 aumente ligeiramente em relação ao nível de 2009, acrescentando que ""a previsibilidade do mercado ainda é muito baixa para previsões confiáveis ​​sobre o desenvolvimento do mercado de fabricação por contrato durante o ano corrente""."
"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .",neutral,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .","HELSINQUE - As ações da Thomson Financial fecharam praticamente estáveis, com a Cargotec e a Huhtamaki registrando quedas acentuadas devido a relatórios decepcionantes do segundo trimestre."
This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,neutral,This corresponds to 6.81 percent of Okmetic 's share capital and voting rights .,"Isso corresponde a 6,81% do capital social e dos direitos de voto da Okmetic."
"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .",neutral,"The total restructuring costs are expected to be about EUR 30mn , of which EUR 13.5 mn was booked in December 2008 .","O custo total da reestruturação deverá ser de cerca de 30 milhões de euros, dos quais 13,5 milhões de euros foram contabilizados em dezembro de 2008."
"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .",positive,"In January-September 2009 , the Group 's net interest income increased to EUR 112.4 mn from EUR 74.3 mn in January-September 2008 .","Entre janeiro e setembro de 2009, a receita líquida de juros do Grupo aumentou para 112,4 milhões de euros, contra 74,3 milhões de euros no mesmo período de 2008."
$ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,positive,ROST Nov 90 calls 2.08 .. Go Long until exp imo ! Unless europeans keeps F'ing around !,"ROST Nov 90 calls 2.08 .. Invista a longo prazo até o vencimento, na minha opinião! A menos que os europeus continuem enrolando!"
"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .",neutral,"As much biomass will be used as can be sourced locally , with the rest of the plant 's fuel needs met by peat .","Será utilizada a maior quantidade de biomassa possível, obtida localmente, e o restante das necessidades de combustível da usina será suprido por turfa."
"$AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.",positive,"AAPL Taking out the shorts here, a punishing reminder not to spear the  strongest in the herd.","AAPL eliminando as posições vendidas aqui, um lembrete contundente para não atacar o mais forte do grupo."
The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,neutral,The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .,"A empresa confirmou sua estimativa de receita menor para todo o ano de 2009 em comparação com os 93,9 milhões de euros (137,3 milhões de dólares) registrados no relatório intermediário de 5 de agosto do mesmo período do ano anterior."
Residents access to the block is planned to be from Aleksandri Street .,neutral,Residents access to the block is planned to be from Aleksandri Street .,O acesso dos moradores ao quarteirão está planejado para ser pela Rua Aleksandri.
"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .",neutral,"CapMan 's first real estate fund , which had a total investment capacity of ( EURO ) 500 million and closed in June 2005 , invested in commercial properties in the Helsinki metropolitan area .","O primeiro fundo imobiliário da CapMan, que tinha uma capacidade de investimento total de 500 milhões de euros e foi encerrado em junho de 2005, investiu em imóveis comerciais na área metropolitana de Helsínquia."
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,neutral,The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,O objetivo do artigo era chamar a atenção para o fato de que o modelo de desenvolvimento seguido pela China era muito diferente do modelo seguido pela Índia.
"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .",positive,"The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division 's results , as of fiscal year 2008 .","Estima-se que o impacto financeiro seja uma melhoria anual de 2 milhões de euros nos resultados da divisão, a partir do ano fiscal de 2008."
"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .",neutral,"The tanks will be delivered to a company which is currently building a chemical tank farm in Antwerp , northern Belgium .","Os tanques serão entregues a uma empresa que está construindo um parque de tanques para produtos químicos em Antuérpia, no norte da Bélgica."
The value of the deal has not been disclosed .,neutral,The value of the deal has not been disclosed .,O valor do negócio não foi divulgado.
"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .",positive,"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .","No segundo trimestre de 2010, o lucro consolidado antes de impostos totalizou 4,5 milhões de euros, em comparação com 3,9 milhões de euros, e o lucro líquido foi de 3,2 milhões de euros, em comparação com 2,9 milhões de euros no ano anterior."
"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .",neutral,"The machine will have an annual production capacity of 200,000 tonnes of super-calendered magazine paper and other paper grades based on recovered fiber , Stora Enso said .","A máquina terá uma capacidade de produção anual de 200.000 toneladas de papel supercalandrado para revistas e outros tipos de papel à base de fibra reciclada, afirmou a Stora Enso."
"$WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.",neutral,"WGO's BoD was right to reject the offer. That company is low because of the economy, not because of any type of mismanagement or anything.","O Conselho de Administração da WGO agiu corretamente ao rejeitar a oferta. A empresa está em baixa devido à situação econômica, e não por má gestão ou qualquer outro problema do tipo."
"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .",neutral,"Risto Jalo , chief executive of Dormus Print and also owner of the remainder of the company , will keep his position after the acquisition .","Risto Jalo, diretor executivo da Dormus Print e também proprietário do restante da empresa, manterá seu cargo após a aquisição."
The Company turnover amounted to MEUR 27.9 in 2007 .,neutral,The Company turnover amounted to MEUR 27.9 in 2007 .,"O volume de negócios da empresa ascendeu a 27,9 milhões de euros em 2007."
Device volume in the area decreased by 21 % to 2.7 mn units .,negative,Device volume in the area decreased by 21 % to 2.7 mn units .,"O volume do dispositivo na área diminuiu 21%, para 2,7 milhões de unidades."
"- Demand for fireplace products was lower than expected , especially in Germany .",neutral,"- Demand for fireplace products was lower than expected , especially in Germany .","- A procura por produtos para lareiras foi inferior à esperada, especialmente na Alemanha."
Some of the lay-offs will be implemented using part-time employment contracts .,neutral,Some of the lay-offs will be implemented using part-time employment contracts .,Algumas das demissões serão implementadas por meio de contratos de trabalho em tempo parcial.
"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .",neutral,"CapMan , with offices in Helsinki , Stockholm , Copenhagen and Oslo , manages Nordic buyout , mezzanine , technology , life science and real estate funds with approximately EUR2 .6 bn in total capital .","A CapMan, com escritórios em Helsínquia, Estocolmo, Copenhaga e Oslo, gere fundos nórdicos de aquisição, financiamento mezzanine, tecnologia, ciências da vida e imobiliário, com um capital total aproximado de 2,6 mil milhões de euros."
"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .",negative,"Operating loss totaled EUR 0.8 mn , compared to a profit of EUR 0.5 mn .","O prejuízo operacional totalizou 0,8 milhões de euros, em comparação com um lucro de 0,5 milhões de euros."
"Demand seems to have hit bottom now , and some signs of improvement can be seen .",positive,"Demand seems to have hit bottom now , and some signs of improvement can be seen .","A demanda parece ter atingido o ponto mais baixo agora, e alguns sinais de melhora podem ser observados."
"Apple expected to launch new iPhone, iPad today $AAPL https://t.co/XfnICWeBeG",positive,"Apple expected to launch new iPhone, iPad today AAPL https://t.co/XfnICWeBeG",A Apple deve lançar hoje o novo iPhone e o novo iPad. AAPL https://t.co/XfnICWeBeG
"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .",neutral,"Wayne Greensmith , Fiskars Brands UK senior brand manager , said : `` We have launched this as we want to give something back to the community .","Wayne Greensmith, gerente sênior de marca da Fiskars Brands no Reino Unido, disse: ""Lançamos isso porque queremos retribuir algo à comunidade."""
"Uncertainties still exist , however .",neutral,"Uncertainties still exist , however .","Ainda existem incertezas, no entanto."
Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,neutral,Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn .,"O lucro operacional diminuiu para 11,2 milhões de euros, contra 16,6 milhões de euros."
Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,neutral,Currently Alfred A Palmberg is putting the finishing touches to one of Finland 's biggest ever re-plumbing and bathroom refurbishment projects also in the district of Vuosaari .,"Atualmente, Alfred A Palmberg está dando os retoques finais em um dos maiores projetos de reforma hidráulica e de banheiros da Finlândia, também no distrito de Vuosaari."
"The workforce will be reduced also in the Amsterdam office , in the Netherlands .",negative,"The workforce will be reduced also in the Amsterdam office , in the Netherlands .","A força de trabalho será reduzida também no escritório de Amsterdã, na Holanda."
The company has exported into about twenty European countries as well as to Africa .,neutral,The company has exported into about twenty European countries as well as to Africa .,"A empresa exportou para cerca de vinte países europeus, bem como para a África."
"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .",positive,"`` We have analyzed Kaupthing Bank Sweden and found a business which fits well into Alandsbanken , '' said Alandsbanken 's chief executive Peter Wiklof in a statement .","""Analisamos o Kaupthing Bank Sweden e encontramos um negócio que se encaixa bem no Alandsbanken"", disse o diretor executivo do Alandsbanken, Peter Wiklof, em um comunicado."
"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .",positive,"With the launch of new 3G handsets , Nokia aims to become the winner in China 's 3G market as it did in the 2G market .","Com o lançamento de novos aparelhos 3G, a Nokia pretende se tornar a vencedora no mercado 3G da China, assim como fez no mercado 2G."
"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .",neutral,"Sanoma also has an Executive Committee , in accordance with the Company 's Articles of Association , that prepares proposals for matters to be decided or noted by the Board of Directors .","A Sanoma também possui um Comitê Executivo, de acordo com os Estatutos da Companhia, que prepara propostas para assuntos a serem decididos ou apreciados pelo Conselho de Administração."
The deal means that ten persons in three countries will transfer to Tieto .,neutral,The deal means that ten persons in three countries will transfer to Tieto .,O acordo prevê a transferência de dez pessoas de três países para a Tieto.
"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .",neutral,"Vaisala 's Present Weather Detector measures visibility up to 20 km , as well as precipitation type and intensity .","O Detector de Condições Meteorológicas Atuais da Vaisala mede a visibilidade até 20 km, bem como o tipo e a intensidade da precipitação."
"Cash flow after investments amounted to EUR45m , down from EUR46m .",negative,"Cash flow after investments amounted to EUR45m , down from EUR46m .","O fluxo de caixa após investimentos totalizou 45 milhões de euros, contra 46 milhões de euros no mesmo período do ano anterior."
"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .",neutral,"When the OMX market forwards mature on May 16 , 2008 , Novator Finland Oy 's direct shareholding in Amer Sports Corporation will exceed one-fifth 1-5 of the company 's shares and voting rights .","Quando os contratos a termo do mercado OMX vencerem em 16 de maio de 2008, a participação acionária direta da Novator Finland Oy na Amer Sports Corporation excederá um quinto (1-5) das ações e direitos de voto da empresa."
The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,neutral,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 .,"O relatório contém informações sobre a participação de mercado de empresas e marcas por categoria, bem como a participação na distribuição para 2007 e 2008."
"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .",neutral,"China Unicom , NYSE : CHU , HKSE : 0762 , and SHSE : 600050 , the second largest mobile carrier in the country .","China Unicom, NYSE: CHU, HKSE: 0762 e SHSE: 600050, a segunda maior operadora de telefonia móvel do país."
Intertek swings to Â£347 mln loss on oil's slump,negative,Intertek swings to Â£347 mln loss on oil's slump,A Intertek registra prejuízo de £347 milhões devido à queda do preço do petróleo.
Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,negative,Operating loss amounted to EUR 0.9 mn in the first half of 2006 compared to a profit of EUR 0.5 mn in the first half of 2005 .,"O prejuízo operacional foi de 0,9 milhões de euros no primeiro semestre de 2006, em comparação com um lucro de 0,5 milhões de euros no primeiro semestre de 2005."
"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",neutral,"The company has delivered the technical infrastructure , used by NAV for their data warehouse and business intelligence initiatives .",A empresa forneceu a infraestrutura técnica utilizada pela NAV para suas iniciativas de data warehouse e business intelligence.
"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .",neutral,"Nonwovens and specialty papers , made by Ahlstrom , are used in a large variety of everyday products , e.g. in filters , wipes , flooring , labels , and tapes .","Os não tecidos e papéis especiais fabricados pela Ahlstrom são utilizados em uma grande variedade de produtos do dia a dia, como filtros, lenços umedecidos, pisos, etiquetas e fitas adesivas."
"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",positive,"Outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .","A Outotec afirmou ter conquistado novas encomendas no valor de 492,9 milhões de euros durante o trimestre, em comparação com 240,4 milhões de euros no ano anterior."
YIT Kausta will build commercial and residential highrises in Virsuliskes area .,neutral,YIT Kausta will build commercial and residential highrises in Virsuliskes area .,A YIT Kausta construirá edifícios comerciais e residenciais de grande altura na área de Virsuliskes.
"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .",neutral,"In addition to supplying a new headbox and a modern sizing and coating unit , Vaahto Group will provide erection supervision , training and start-up services .","Além de fornecer uma nova caixa de entrada e uma moderna unidade de dimensionamento e revestimento, o Grupo Vaahto também oferecerá supervisão de montagem, treinamento e serviços de inicialização."
"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",negative,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .","20 de outubro de 2010 - A empresa finlandesa de gestão ambiental Lassila & Tikanoja Oyj HEL: LAT1V, ou L&T, afirmou na segunda-feira que espera que seu lucro operacional, excluindo itens não recorrentes, para todo o ano de 2010 seja ligeiramente inferior ao de 2009."
$GS is looking weak while this market is moving higher not a good sign. Unless $gs can get above 157. early short below 154.00 today.,negative,GS is looking weak while this market is moving higher not a good sign. Unless gs can get above 157. early short below 154.00 today.,"O GS parece estar fraco enquanto o mercado está subindo, o que não é um bom sinal. A menos que o GS consiga ultrapassar 157, recomendo uma venda a descoberto abaixo de 154 hoje."
"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .",negative,"26 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj ( HEL : LAT1V ) , or L&T , said today its net profit declined to EUR20 .9 m for the first nine months of 2010 from EUR27 .6 m for the same period a year earlier .","26 de outubro de 2010 - A empresa finlandesa de gestão ambiental Lassila & Tikanoja Oyj (HEL: LAT1V), ou L&T, anunciou hoje que seu lucro líquido caiu para € 20,9 milhões nos primeiros nove meses de 2010, em comparação com € 27,6 milhões no mesmo período do ano anterior."
Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,neutral,Sanoma announced the Stock Option Scheme 2008 on 19 December 2008 .,A Sanoma anunciou o Plano de Opções de Ações de 2008 em 19 de dezembro de 2008.
"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",negative,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs",Philip Morris e BAT processam a empresa por lei que proíbe a remoção de marcas das embalagens.
"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .",neutral,"The other seats would go to Edgar Edmonds , an American with experience of the clothing and retail industry , and Christian Fischer , an Austrian with experience in the winter sports goods business .","As outras vagas seriam ocupadas por Edgar Edmonds, um americano com experiência no setor de vestuário e varejo, e Christian Fischer, um austríaco com experiência no ramo de artigos esportivos de inverno."
Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,positive,Ruukki announced that it has signed an agreement with Aker Solutions of Norway to supply 24 suction anchors in September 2010 from its Kalajoki unit in Finland .,"Em setembro de 2010, a Ruukki anunciou a assinatura de um acordo com a Aker Solutions da Noruega para o fornecimento de 24 âncoras de sucção a partir de sua unidade em Kalajoki, na Finlândia."
"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .",positive,"Finnish financial software developer Basware Oyj said today it will provide its invoice automation ( IA ) solution to an unnamed major retail company in the USA in a deal , worth more than EUR300 ,000 .","A desenvolvedora finlandesa de software financeiro Basware Oyj anunciou hoje que fornecerá sua solução de automação de faturas (IA) para uma grande empresa varejista dos EUA, cujo nome não foi divulgado, em um acordo avaliado em mais de 300 mil euros."
Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,neutral,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,"O Barclays contrata Paul Compton, novo diretor de operações, do JP Morgan Chase."
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,neutral,Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,"O lucro operacional caiu de 7,9 milhões de euros no segundo trimestre de 2005 para 5,1 milhões de euros no segundo trimestre de 2006."
The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,neutral,The share subscription period for stock options 2007A is between 1 April 2010 and 31 March 2012 .,O período de subscrição de ações para opções de ações 2007A é entre 1 de abril de 2010 e 31 de março de 2012.
"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",positive,"The company is in the process of building a new fleet and has placed orders for 10 P-Max tankers of 65,200 dwt .",A empresa está em processo de construção de uma nova frota e já encomendou 10 navios-tanque P-Max de 65.200 dwt.
"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",negative,"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .","""A implementação desses programas teve, e terá, impactos negativos nos lucros de 2006 e 2007"", disse o Sr. Meiklejohn."
Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,positive,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano,"A ViiV Healthcare, da Glaxo, assina acordo de fabricação na China com a Desano."
The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,neutral,The ground barleycorn has been fully produced in Finland and will be available in stores as of the beginning of 2010 .,A cevada moída foi totalmente produzida na Finlândia e estará disponível nas lojas a partir do início de 2010.
$FB bot some @78.47 breakout from the consolidation zone :D,positive,FB bot some @78.47 breakout from the consolidation zone :D,"O bot do Facebook noticiou uma possível ruptura da zona de consolidação em 78,47 :D"
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",negative,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",A Saudi Aramco e a Shell planejam desmembrar a Motiva e dividir seus ativos.
"$INO Up, up, and away!",positive,"INO Up, up, and away!","INO Para cima, para cima e avante!"
"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .",neutral,"Operating profit for the 12-month period decreased from EUR17 .9 m while net sales increased from EUR58 .3 m , as compared to 2007 .","O lucro operacional no período de 12 meses diminuiu de 17,9 milhões de euros, enquanto as vendas líquidas aumentaram de 58,3 milhões de euros, em comparação com 2007."
Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,neutral,Finnish industrial group Ruukki Group Plc OMX Helsinki : RUG1V said on Friday 14 November that its furniture business segment Incap Furniture has concluded personnel negotiations that were started at the end of September .,"O grupo industrial finlandês Ruukki Group Plc OMX Helsinki: RUG1V anunciou na sexta-feira, 14 de novembro, que sua divisão de móveis, a Incap Furniture, concluiu as negociações de pessoal iniciadas no final de setembro."
The right margin will be viewed separately in detail with every customer .,neutral,The right margin will be viewed separately in detail with every customer .,A margem direita será analisada separadamente e em detalhes para cada cliente.
